model,serial
100F,FH100FC579152
100F,FH100FC580563
100F,FH100FG57797526070R16
100F,FH100FC580556
1010,1010RS29447
1010,1010RUS34310
1010,1010RUS57204
1010,1010RU29000
1010,1010RUS56559
1010,1010RUS34740
1010,1010RUS51334
1010,145G4H30896
1010,1010RS19330
1010,1010RU533735
1010,1010RU16172
1010,1010RUS32842
1010,1010RS29065
1010,1010RU34010
1010,1010R39018
1010,1010RS23921
1010,1010RUS34740
1010,1010RUS53560
1010,1010RS32885
1010,1010RU853567
1010,M51TW1441661
1010,1010RD56445
1010,1010RS13822
1020,41TR023524T
1020,T4R3H060348T
1020,4R3C026284T
1020,T4R1C042071T
1020,4R1C022997T
1020,SNE0037001317C
1020,4R1C043876
1020,4R1C043876T
1020,T4R3C052614T
1020,4R3C022094T
1020,1020T4H3C024369L
1020,4R1C031319T
1020,NT4L3CU29976T
1020,6NT4R1G027334T
1020,T4L1D103280
1020,4R1C030084T
1020,4R3C022094T
1020,T4R10038195T
1020,SNM4114019498
1020,SNT4F1C023681T
1020,TR3C092048T
1020,UAT10202023
1020,T4R1C1261381
1020,NT4P3C023754T
1020,4R3C022951T
1020,T4R10040498T
1020,T4R3H060348T
1020,T4R/H1252481
1020,4H3C028923T
1020,4R1C051606T
1020,SNM41TR035985T
1020,4H1C0186T6T
1020,T4R1C1297501
1020,T4R1C131516T
1020,6NT4R1C0314757
1020,4H3C0855591
1020,SFR84GRS72HK90
1020,4R1C026768T
1020,T4R1C023061T
1020,AR1C034525T
1020,SNT4R1C019409T
1020,T4R1C1258651
1020,SNN41TR035985T
1023E,1LV1023ELMN148701
1023E,1LV1023ELKK130004
1023E,1LV1023EHEH411464
1023E,1LV1023EAJJ120639
1023E,1LV1023EAHJ114995
1023E,1LV1023EJBE112577
1023E,1LV1023EKKK130268
1023E,1LV1023ETRR164208
1023E,1LV1023ETHJ114941
1023E,1LV1023ECRR163212
1023E,1LV1023ELKK131346
1023E,1LV1023EPKK131578
1023E,1LV1023ECJJ120825
1023E,1LV1023ECPP157086
1023E,1LV1023ECLK134163
1023E,1LV1023EHFH511596
1023E,1LV1023EJEH414339
1023E,1LV1023EPSS168050
1023E,1LV1023ECKK131553
